implicit,explicit,raceomb,sex,politics,year,age,education
0.542433139,5,6,m,2,2015,29,5
-0.019932475,5,5,f,6,2009,19,7
0.248244059,4,1,f,1,2010,NA,10
0.777142741,4,6,m,7,2015,19,4
0.247521063,6,6,m,6,2012,53,10
-0.219207445,4,9,f,4,2012,16,3
0.374133302,4.5,6,f,6,2011,19,5
0.227538387,4.5,6,f,6,2015,25,8
0.153189515,4,6,m,7,2014,17,3
0.225313031,5,6,f,6,2007,19,5
0.681867969,4,NA,.,NA,2015,NA,NA
-0.032196589,4,6,m,3,2011,20,5
-0.500616908,5,6,f,4,2011,53,10
1.057691841,5,6,f,2,2008,31,10
0.718209071,4,6,f,4,2010,20,7
0.012422956,4,6,f,5,2007,42,8
0.341972195,4,6,f,6,2015,27,9
-0.119911413,4,5,m,4,2014,32,6
0.287804293,4,3,f,5,2014,37,7
0.899074501,4,6,m,7,2013,56,10
0.459306323,5.5,6,f,3,2009,50,7
0.787747266,4.5,6,f,4,2013,17,3
0.414035023,5,6,f,4,2009,19,5
0.683322601,4,5,f,4,2013,29,6
0.058818467,4,6,f,4,2007,18,5
0.524829606,4,6,m,6,2009,28,9
0.318690696,4,6,m,6,2015,30,5
0.836437884,5.5,6,f,4,2014,32,5
0.508660657,4.5,6,f,6,2014,24,7
0.697761719,6,6,f,4,2013,21,5
0.797708262,4.5,6,f,6,2013,18,4
0.125174048,4,2,f,6,2008,17,4
0.130590483,4,6,f,4,2011,30,7
-0.31607406,6,7,f,7,2015,34,7
-0.271518931,5,8,f,2,2013,22,5
0.757566396,4.5,6,f,6,2009,23,8
-0.333836368,4,5,f,4,2014,30,5
0.457096845,5,6,f,4,2013,41,6
-0.462568473,4,6,f,4,2009,24,5
0.122382787,5,6,f,5,2013,33,5
0.479013111,5,5,f,4,2011,21,5
0.493961145,4,6,m,6,2015,24,8
0.11243235,7,5,f,4,2014,28,5
0.347220182,4,6,f,3,2015,34,6
0.359990396,4,6,f,2,2014,20,5
-0.131322351,5,NA,.,NA,2008,NA,NA
0.843064201,4.5,6,f,4,2014,64,7
0.433921508,5.5,6,m,3,2009,18,3
0.183804301,5,6,f,4,2010,21,5
0.245915249,4,6,m,3,2009,22,5
0.441119647,4,6,m,7,2007,20,5
0.484932689,4.5,6,m,6,2015,49,9
0.928440769,6.5,5,f,4,2010,20,5
-0.385156399,4.5,2,f,4,2015,21,7
-0.277587213,4,6,m,NA,2010,35,7
0.62169566,4,6,f,6,2015,37,10
0.502726583,6,6,f,3,2010,21,7
-0.010438664,4,6,f,7,2010,21,5
0.196699938,6,2,m,4,2009,30,8
0.369494946,6,6,f,6,2012,38,7
0.459532408,4,7,m,5,2015,17,3
0.279256576,4,6,m,1,2013,35,6
0.761709267,4.5,6,m,5,2013,47,9
-0.304766239,4,6,f,4,2010,17,4
0.663000713,5,6,m,5,2011,NA,7
0.674733523,5,6,m,6,2013,52,10
0.541629889,4.5,6,m,4,2010,34,9
0.301042761,6,6,f,6,2011,29,5
0.081287908,4.5,8,f,4,2015,35,9
0.087038606,4,6,f,6,2014,21,4
0.653582903,5,6,m,6,2014,35,5
0.859033047,5.5,NA,.,NA,2015,NA,NA
0.666574163,4.5,6,f,2,2011,23,7
0.711211404,4,6,f,7,2008,26,9
0.577639516,4,6,f,5,2014,19,5
0.383363144,4,7,m,2,2014,21,5
0.389468597,4.5,6,m,4,2009,31,7
0.107887342,4.5,6,f,6,2012,24,8
0.733763888,5.5,6,f,4,2015,29,5
0.535330684,5,6,f,4,2011,18,5
0.165241829,4.5,6,f,4,2010,27,8
0.494490641,6,6,f,3,2015,50,7
0.500341384,6,6,f,4,2007,20,5
0.696753775,5,6,f,4,2010,17,4
-0.043724056,4,6,f,4,2015,22,8
0.426708417,4,6,f,4,2007,61,9
-0.328549465,4.5,3,m,4,2011,30,NA
0.501236645,4.5,6,f,6,2014,27,6
0.634041225,5,6,m,4,2007,21,5
0.311534658,4.5,3,m,6,2013,31,9
-0.077352758,5.5,2,f,5,2013,17,4
-0.043402892,4,5,f,4,2014,11,1
0.395179033,4,6,f,4,2013,24,5
0.323815509,5,3,m,5,2015,23,5
0.327182384,5.5,6,f,1,2010,18,5
0.659211521,4.5,6,f,5,2008,22,5
0.61934959,3,3,m,4,2015,19,5
0.802672388,5.5,1,m,5,2014,19,5
0.534229799,4,6,f,7,2015,41,10
-0.734179623,4.5,6,f,7,2012,19,5
-0.323049676,4,6,f,4,2009,35,7
-0.491982708,4.5,6,f,6,2011,21,5
0.662883328,5,NA,.,NA,2012,NA,NA
0.906798495,4.5,6,f,5,2010,51,9
0.444592945,5,9,m,6,2015,31,10
0.385676847,5,6,m,6,2012,17,4
-0.004775395,4.5,3,m,6,2011,18,5
0.515705307,6,6,f,5,2007,19,5
0.25332486,6,2,f,3,2014,31,7
0.824545382,5,6,f,7,2008,34,10
0.406552214,5,6,f,5,2015,53,7
-0.232219543,5,6,m,6,2007,31,10
0.314217119,4,6,f,7,2012,19,5
-0.553900161,4,6,f,7,2015,16,4
0.304996324,4,8,f,7,2007,17,3
0.28046119,4.5,6,f,6,2015,18,3
0.65668795,5,6,m,6,2008,22,5
0.419322716,4,6,m,4,2010,18,4
0.127557285,5.5,6,f,2,2010,22,5
0.816878523,6,6,f,6,2010,55,9
0.515284138,4,6,m,4,2014,45,9
0.836649698,5,6,f,5,2015,21,5
0.185207081,6,3,f,6,2015,37,10
0.500722124,4,8,f,7,2009,23,5
0.453675367,6,6,m,5,2015,26,7
-0.556340727,4,9,f,4,2014,37,7
