Implicit,Explicit,racenum,sexnum,politics,age,year,education,datecode,numiats,Age_group
-0.08856360605531215,2,6,1,3,19,2011,5,1770,4,1
0.8026550782845157,5,6,1,6,22,2016,8,3299,1,2
-0.22868489160581365,4,6,0,4,18,2013,6,2530,3,1
0.19668720233043838,4,6,0,3,17,2016,4,3370,1,1
0.6420427736147499,5,NA,NA,NA,NA,2007,NA,322,NA,NA
0.4219544581645299,5,6,1,6,21,2009,5,987,1,2
0.9723091707676474,6,6,1,NA,18,2013,4,2354,1,1
0.9480035607320823,6,6,0,4,18,2009,NA,872,1,1
1.053007945750588,6,6,0,4,27,2013,9,2222,1,2
0.43972211264915734,4,9,0,4,16,2011,3,1739,2,1
0.555771576292111,4,9,0,4,21,2015,5,2967,1,2
0.2308376480561874,3,6,0,NA,NA,2015,NA,3178,NA,NA
0.20349321707241527,4,NA,NA,NA,NA,2017,5,3762,NA,NA
0.23190362028367473,2,6,0,1,65,2009,9,1031,1,6
0.3778896709245714,4,NA,0,4,47,2013,4,2490,1,4
-0.00939835584674581,5,6,1,NA,16,2012,3,2062,1,1
1.103516105162138,4,6,1,3,57,2013,9,2224,4,5
0.24708180509531658,5,NA,NA,NA,NA,2017,8,3767,NA,NA
-0.060264648671938204,4,NA,NA,NA,NA,2017,4,3960,NA,NA
0.6241720061008604,6,9,1,5,16,2015,3,3181,1,1
0.5697738544194821,4,6,0,1,28,2014,5,2741,1,2
1.0901306306862364,5,NA,NA,NA,NA,2017,5,3946,NA,NA
-0.4763582330161229,5,8,1,2,18,2015,5,3166,2,1
0.19726981980727565,5,2,1,NA,20,2008,5,440,5,1
0.7339618028495267,5,5,1,4,32,2012,4,2084,2,3
-0.0840491317714217,4,2,1,4,25,2015,7,3174,1,2
0.021793645952351948,4,6,1,6,18,2011,4,1557,3,1
0.1292812871817181,4,6,1,4,32,2014,9,2719,1,3
0.4266310401601591,4,NA,1,5,22,2009,5,1066,2,2
0.8524864332537527,6,NA,NA,NA,NA,2017,5,3748,NA,NA
0.18361604097164086,6,NA,NA,NA,NA,2017,4,3923,NA,NA
0.7123935327514654,5,6,1,4,23,2007,4,207,1,2
0.7771791728652585,4,6,1,7,63,2015,5,3040,1,6
0.4355674364822308,4,6,1,3,36,2016,10,3477,1,3
0.7817576329135284,5,6,0,6,19,2007,5,283,1,1
0.2931207617173043,5,6,1,4,17,2008,3,508,1,1
0.4882957042350169,4,NA,NA,NA,NA,2017,6,3719,NA,NA
0.4133203217608044,3,2,0,3,32,2016,10,3405,1,3
0.7255131234175958,5,6,0,5,31,2014,9,2920,1,3
0.2739205498387945,4,6,1,6,43,2015,10,3009,1,4
0.13954538806957825,4,6,1,4,20,2014,5,2714,1,1
0.8309047311644778,3,6,1,6,49,2013,6,2314,1,4
1.1506315984020314,7,NA,NA,NA,NA,2017,4,3748,NA,NA
0.4377409123533028,4,NA,NA,NA,NA,2017,5,3992,NA,NA
1.1732468636879119,6,6,1,4,20,2010,5,1194,4,1
0.4579722428819423,4,NA,NA,NA,NA,2017,5,3905,NA,NA
0.30853491416519924,4,8,1,4,25,2012,4,2050,1,2
0.9044896665293083,6,6,1,2,17,2013,3,2419,1,1
0.22175707614280465,3,6,0,4,43,2012,9,1983,1,4
0.1068664886810182,3,6,1,1,40,2009,6,1034,3,3
0.17360060045838172,4,6,1,5,18,2012,3,1927,1,1
-0.07170743231991701,5,5,1,NA,19,2014,5,2879,2,1
0.1624388177333198,5,NA,NA,NA,NA,2017,2,3990,NA,NA
0.4448608115038527,4,9,1,4,23,2010,NA,1362,1,2
0.4344430364000293,6,6,1,6,21,2013,5,2526,2,2
0.7659924544510035,6,6,0,4,20,2011,5,1718,1,1
-0.12283954022682511,3,6,1,4,20,2012,5,2148,1,1
0.5242774412832544,6,6,1,4,22,2013,7,2483,2,2
0.7976771807370473,4,6,1,4,25,2016,8,3329,2,2
-0.274081133058284,4,6,1,6,18,2009,4,1038,5,1
0.2725306454582089,4,6,0,4,15,2009,3,760,4,1
1.2032452731699026,5,6,1,2,62,2016,7,3418,1,6
-0.0714385273704354,2,3,1,7,28,2015,10,3186,1,2
0.4528426657965689,4,6,1,4,37,2007,5,239,1,3
0.015186744447231643,6,6,0,4,20,2014,5,2608,3,1
0.0807033781985953,5,6,1,7,19,2015,5,3247,3,1
